Country Code,c_type,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
泰国,热带国,2760747472,3034043574,3308912797,3540403457,3889129942,4388937649,5279230817,5638461442,6081009428,6695336567,7086538438,7375000024,8177884553,10838587358,13703000530,14882747955,16985211146,19779315170,24006570178,27371699083,32353440727,34846107862,36589797857,40042826244,41797592963,38900692712,43096746122,50535438696,61667199835,72250877410,85343063966,98234695722,1.11453E+11,1.28889E+11,1.46683E+11,1.69279E+11,1.83035E+11,1.50181E+11,1.13676E+11,1.26669E+11,1.26392E+11,1.20296E+11,1.34301E+11,1.52281E+11,1.72896E+11,1.89319E+11,2.21758E+11,2.62942E+11,2.91383E+11,2.8171E+11,3.41105E+11,3.70819E+11,3.97558E+11,4.20333E+11,4.07339E+11,4.01296E+11,4.13366E+11,4.56357E+11,5.06611E+11,5.44264E+11,5.01644E+11
马来西亚,热带国,1916241997,1901868548,2001502679,2510126748,2674441396,2956356984,3143538482,3188945512,3330393310,3664575983,3864170913,4244340334,5043268549,7662996767,9496074114,9298800799,11050125905,13139397879,16358376511,21213672089,24488033442,25004557094,26804401816,30346788438,33943505718,31200161095,27734562640,32181695507,35271880250,38848567631,44024178343,49143148094,59167550163,66894837030,74478356958,88705342903,1.00855E+11,1.00005E+11,72167498981,79148421053,93789736842,92783947368,1.00846E+11,1.10202E+11,1.24749E+11,1.43534E+11,1.62691E+11,1.93548E+11,2.30814E+11,2.02258E+11,2.55017E+11,2.97952E+11,3.14443E+11,3.23277E+11,3.38062E+11,3.01355E+11,3.01255E+11,3.19112E+11,3.58792E+11,3.65276E+11,3.37006E+11
菲律宾,热带国,7515886651,8171186334,4954529277,5505055618,5953766854,6517304758,7189017888,7724873935,8632749269,9571800653,7559179530,8375086047,9067872579,11412421020,15607825070,16875240683,19380945793,22283185056,25762077665,31218507870,36848242784,40499645208,42206011275,37759237658,35730202751,34961565263,33987178952,37791442731,43152077817,48513735777,50508286643,51784207132,60422309297,62036625223,73159245524,84644220102,94648084429,94106183450,74492325247,85640133800,83669693589,78921234457,84307291974,87039145965,95002028505,1.0742E+11,1.27653E+11,1.5598E+11,1.81625E+11,1.75975E+11,2.08369E+11,2.34217E+11,2.61921E+11,2.83903E+11,2.97483E+11,3.06446E+11,3.18627E+11,3.28481E+11,3.46842E+11,3.76823E+11,3.61489E+11
新加坡,热带国,704756304.7,764634783.7,826244610,917614007.6,894159153.3,974650463.9,1096432771,1238043904,1425715406,1659904613,1920586698,2263785444,2721440981,3696213333,5221534956,5633673930,6327077974,6618585074,7517176355,9296921724,11896256783,14175228844,16084252378,17784112150,19749361098,19156532746,18586746057,20919215578,25371462488,30465364739,36144336769,45466164978,52130263966,60603478153,73690847191,87810991957,96295886525,1.00124E+11,85728310229,86284660767,96074477958,89794943350,92537752709,97645448284,1.15035E+11,1.27808E+11,1.4863E+11,1.80942E+11,1.93612E+11,1.94152E+11,2.39809E+11,2.79351E+11,2.95087E+11,3.07576E+11,3.14851E+11,3.08004E+11,3.18764E+11,3.43338E+11,3.75982E+11,3.74386E+11,3.39998E+11
墨西哥,热带国,13040000000,14160000000,15200000000,16960000000,20080000000,21840000000,24320000000,26560000000,29360000000,32480000000,35520000000,39200000000,45200000000,55280000000,72000000000,88000000000,89025974026,81814159292,1.025E+11,1.34561E+11,2.05139E+11,2.63959E+11,1.84609E+11,1.56159E+11,1.84261E+11,1.9522E+11,1.3455E+11,1.47541E+11,1.81612E+11,2.21401E+11,2.61254E+11,3.13143E+11,3.63158E+11,5.00736E+11,5.27813E+11,3.60074E+11,4.10976E+11,5.00413E+11,5.26502E+11,6.00233E+11,7.07907E+11,7.56706E+11,7.72106E+11,7.29336E+11,7.82241E+11,8.77476E+11,9.75387E+11,1.0527E+12,1.10999E+12,9.00045E+11,1.0578E+12,1.18049E+12,1.20109E+12,1.27444E+12,1.31535E+12,1.17187E+12,1.07849E+12,1.15891E+12,1.22241E+12,1.26943E+12,1.07392E+12
美国,海洋国,5.433E+11,5.633E+11,6.051E+11,6.386E+11,6.858E+11,7.437E+11,8.15E+11,8.617E+11,9.425E+11,1.0199E+12,1.0733E+12,1.16485E+12,1.27911E+12,1.42538E+12,1.54524E+12,1.6849E+12,1.87341E+12,2.08183E+12,2.3516E+12,2.62733E+12,2.85731E+12,3.20704E+12,3.34379E+12,3.63404E+12,4.03761E+12,4.33898E+12,4.57963E+12,4.85522E+12,5.23644E+12,5.64158E+12,5.96314E+12,6.15813E+12,6.52033E+12,6.85856E+12,7.28724E+12,7.63975E+12,8.07312E+12,8.57755E+12,9.06282E+12,9.63066E+12,1.02523E+13,1.05818E+13,1.09364E+13,1.14582E+13,1.22137E+13,1.30366E+13,1.38146E+13,1.44519E+13,1.47128E+13,1.44489E+13,1.49921E+13,1.55426E+13,1.6197E+13,1.67848E+13,1.75272E+13,1.82383E+13,1.87451E+13,1.9543E+13,2.06119E+13,2.14332E+13,2.0953E+13
加拿大,海洋国,40461721693,40934952064,42227447632,45029988561,49377522897,54515179581,61088384037,65668655501,71829810520,79148411662,87896095320,99271961775,1.13083E+11,1.31322E+11,1.60409E+11,1.73834E+11,2.06576E+11,2.11612E+11,2.18633E+11,2.43072E+11,2.73854E+11,3.06215E+11,3.13507E+11,3.40548E+11,3.55373E+11,3.64756E+11,3.77438E+11,4.31317E+11,5.07354E+11,5.65056E+11,5.9393E+11,6.10328E+11,5.92388E+11,5.77171E+11,5.78139E+11,6.04032E+11,6.28546E+11,6.54987E+11,6.34E+11,6.78412E+11,7.44773E+11,7.38982E+11,7.60649E+11,8.95541E+11,1.02669E+12,1.17311E+12,1.31926E+12,1.46882E+12,1.55299E+12,1.37463E+12,1.61734E+12,1.79333E+12,1.82837E+12,1.8466E+12,1.80575E+12,1.55651E+12,1.52799E+12,1.64927E+12,1.72533E+12,1.74202E+12,1.64542E+12
日本,海洋国,44307342950,53508617739,60723018684,69498131797,81749006382,90950278258,1.05628E+11,1.23782E+11,1.46601E+11,1.72204E+11,2.12609E+11,2.40152E+11,3.18031E+11,4.32083E+11,4.79626E+11,5.21542E+11,5.86162E+11,7.21412E+11,1.01361E+12,1.05501E+12,1.10539E+12,1.21899E+12,1.13452E+12,1.24332E+12,1.31838E+12,1.39889E+12,2.07895E+12,2.53281E+12,3.07168E+12,3.05491E+12,3.13282E+12,3.58442E+12,3.90881E+12,4.45414E+12,4.9988E+12,5.54556E+12,4.92339E+12,4.49245E+12,4.09836E+12,4.63598E+12,4.96836E+12,4.37471E+12,4.18285E+12,4.51956E+12,4.89312E+12,4.83147E+12,4.60166E+12,4.57975E+12,5.10668E+12,5.28949E+12,5.75907E+12,6.23315E+12,6.27236E+12,5.21233E+12,4.89699E+12,4.44493E+12,5.00368E+12,4.93084E+12,5.03689E+12,5.14878E+12,5.05776E+12
英国,海洋国,73233967692,77741965703,81247564157,86561961812,94407558351,1.01825E+11,1.08573E+11,1.13117E+11,1.0776E+11,1.16465E+11,1.30672E+11,1.48114E+11,1.69965E+11,1.92538E+11,2.06131E+11,2.41757E+11,2.32615E+11,2.63066E+11,3.35883E+11,4.38994E+11,5.64948E+11,5.40766E+11,5.15049E+11,4.89618E+11,4.61487E+11,4.89285E+11,6.01453E+11,7.45163E+11,9.10123E+11,9.26885E+11,1.09317E+12,1.1428E+12,1.17966E+12,1.06139E+12,1.14049E+12,1.34642E+12,1.42151E+12,1.55957E+12,1.65339E+12,1.68576E+12,1.66213E+12,1.64391E+12,1.78408E+12,2.05709E+12,2.42181E+12,2.54483E+12,2.71706E+12,3.10618E+12,2.93888E+12,2.4258E+12,2.49111E+12,2.67489E+12,2.71916E+12,2.80329E+12,3.08717E+12,2.95657E+12,2.72285E+12,2.69902E+12,2.90079E+12,2.87867E+12,2.7598E+12
法国,海洋国,62225478001,67461644222,75607529810,84759195106,94007851047,1.01537E+11,1.10046E+11,1.18973E+11,1.29785E+11,1.41903E+11,1.48456E+11,1.65967E+11,2.03494E+11,2.6443E+11,2.85552E+11,3.60832E+11,3.72319E+11,4.10279E+11,5.06708E+11,6.13953E+11,7.01288E+11,6.15552E+11,5.84878E+11,5.59869E+11,5.30684E+11,5.53138E+11,7.71471E+11,9.34173E+11,1.01885E+12,1.02521E+12,1.26918E+12,1.26928E+12,1.40147E+12,1.32282E+12,1.39398E+12,1.60109E+12,1.60568E+12,1.45288E+12,1.50311E+12,1.49315E+12,1.36564E+12,1.37766E+12,1.50141E+12,1.84454E+12,2.11963E+12,2.19695E+12,2.32054E+12,2.66059E+12,2.9303E+12,2.70089E+12,2.64519E+12,2.86516E+12,2.68367E+12,2.81188E+12,2.85596E+12,2.43919E+12,2.47296E+12,2.59515E+12,2.79096E+12,2.72887E+12,2.63032E+12
