DateTime,Trend
2018/9/15 0:00,331.20
2018/10/15 0:00,331.30
2018/11/15 0:00,331.30
2018/12/15 0:00,331.40
2019/1/15 0:00,331.50
2019/2/15 0:00,331.60
2019/3/15 0:00,331.60
2019/4/15 0:00,331.70
2019/5/15 0:00,331.80
2019/6/15 0:00,331.80
2019/7/15 0:00,331.90
2019/8/15 0:00,332.00
2019/9/15 0:00,332.10
2019/10/15 0:00,332.10
2019/11/15 0:00,332.20
2019/12/15 0:00,332.30
2020/1/15 0:00,332.40
2020/2/15 0:00,332.50
2020/3/15 0:00,332.60
2020/4/15 0:00,332.70
2020/5/15 0:00,332.90
2020/6/15 0:00,333.00
2020/7/15 0:00,333.10
2020/8/15 0:00,333.20
2020/9/15 0:00,333.30
2020/10/15 0:00,333.40
2020/11/15 0:00,333.50
2020/12/15 0:00,333.70
2021/1/15 0:00,333.80
2021/2/15 0:00,333.90
2021/3/15 0:00,334.00
2021/4/15 0:00,334.10
2021/5/15 0:00,334.20
2021/6/15 0:00,334.30
2021/7/15 0:00,334.40
2021/8/15 0:00,334.50
2021/9/15 0:00,334.60
2021/10/15 0:00,334.70
2021/11/15 0:00,334.80
2021/12/15 0:00,334.90
2022/1/15 0:00,335.00
2022/2/15 0:00,335.10
